time	V(vas)
9.430429687499898e-004	-9.699121e+000
9.550429687499897e-004	-7.753067e+000
9.670429687499895e-004	-5.763023e+000
9.790429687499894e-004	-3.740298e+000
9.910429687499892e-004	-1.696386e+000
1.003042968749989e-003	3.571014e-001
1.015042968749989e-003	2.408494e+000
1.027042968749989e-003	4.446136e+000
1.039042968749989e-003	6.458447e+000
1.051042968749989e-003	8.433997e+000
1.063042968749988e-003	1.036156e+001
1.075042968749988e-003	1.223018e+001
1.087042968749988e-003	1.402924e+001
1.099042968749988e-003	1.574851e+001
1.111042968749988e-003	1.737824e+001
1.123042968749988e-003	1.890916e+001
1.135042968749988e-003	2.033257e+001
1.147042968749987e-003	2.164038e+001
1.159042968749987e-003	2.282516e+001
1.171042968749987e-003	2.388018e+001
1.183042968749987e-003	2.479944e+001
1.195042968749987e-003	2.557773e+001
1.207042968749987e-003	2.621062e+001
1.219042968749987e-003	2.669451e+001
1.231042968749986e-003	2.702665e+001
1.243042968749986e-003	2.720516e+001
1.255042968749986e-003	2.722902e+001
1.267042968749986e-003	2.709810e+001
1.279042968749986e-003	2.681314e+001
1.291042968749986e-003	2.637575e+001
1.303042968749986e-003	2.578843e+001
1.315042968749985e-003	2.505452e+001
1.327042968749985e-003	2.417817e+001
1.339042968749985e-003	2.316438e+001
1.351042968749985e-003	2.201889e+001
1.363042968749985e-003	2.074822e+001
1.375042968749985e-003	1.935960e+001
1.387042968749985e-003	1.786090e+001
1.399042968749984e-003	1.626065e+001
1.411042968749984e-003	1.456794e+001
1.423042968749984e-003	1.279239e+001
1.435042968749984e-003	1.094408e+001
1.447042968749984e-003	9.033525e+000
1.459042968749984e-003	7.071571e+000
1.471042968749984e-003	5.069370e+000
1.483042968749983e-003	3.038299e+000
1.495042968749983e-003	9.898977e-001
1.507042968749983e-003	-1.064192e+000
1.519042968749983e-003	-3.112300e+000
1.531042968749983e-003	-5.142788e+000
1.543042968749983e-003	-7.144118e+000
1.555042968749983e-003	-9.104919e+000
1.567042968749982e-003	-1.101405e+001
1.579042968749982e-003	-1.286066e+001
1.591042968749982e-003	-1.463426e+001
1.603042968749982e-003	-1.632476e+001
1.615042968749982e-003	-1.792257e+001
1.627042968749982e-003	-1.941861e+001
1.639042968749982e-003	-2.080437e+001
1.651042968749981e-003	-2.207197e+001
1.663042968749981e-003	-2.321423e+001
1.675042968749981e-003	-2.422464e+001
1.687042968749981e-003	-2.509746e+001
1.699042968749981e-003	-2.582774e+001
1.711042968749981e-003	-2.641133e+001
1.723042968749981e-003	-2.684490e+001
1.735042968749980e-003	-2.712600e+001
1.747042968749980e-003	-2.725303e+001
1.759042968749980e-003	-2.722526e+001
1.771042968749980e-003	-2.704286e+001
1.783042968749980e-003	-2.670685e+001
1.795042968749980e-003	-2.621916e+001
1.807042968749980e-003	-2.558255e+001
1.819042968749979e-003	-2.480063e+001
1.831042968749979e-003	-2.387786e+001
1.843042968749979e-003	-2.281947e+001
1.855042968749979e-003	-2.163148e+001
1.867042968749979e-003	-2.032064e+001
1.879042968749979e-003	-1.889441e+001
1.891042968749979e-003	-1.736087e+001
1.903042968749978e-003	-1.572874e+001
1.915042968749978e-003	-1.400731e+001
1.927042968749978e-003	-1.220635e+001
1.939042968749978e-003	-1.033610e+001
1.951042968749978e-003	-8.407182e+000
1.963042968749978e-003	-6.430556e+000
1.975042968749978e-003	-4.417455e+000
1.987042968749977e-003	-2.379319e+000
1.999042968749977e-003	-3.277287e-001
2.011042968749977e-003	1.725659e+000
2.023042968749977e-003	3.769176e+000
2.035042968749977e-003	5.791211e+000
2.047042968749977e-003	7.780273e+000
2.059042968749977e-003	9.725061e+000
2.071042968749976e-003	1.161452e+001
2.083042968749976e-003	1.343793e+001
2.095042968749976e-003	1.518491e+001
2.107042968749976e-003	1.684554e+001
2.119042968749976e-003	1.841039e+001
2.131042968749976e-003	1.987056e+001
2.143042968749976e-003	2.121777e+001
2.155042968749975e-003	2.244434e+001
2.167042968749975e-003	2.354332e+001
2.179042968749975e-003	2.450845e+001
2.191042968749975e-003	2.533426e+001
2.203042968749975e-003	2.601606e+001
2.215042968749975e-003	2.654996e+001
2.227042968749975e-003	2.693294e+001
2.239042968749975e-003	2.716282e+001
2.251042968749974e-003	2.723829e+001
2.263042968749974e-003	2.715892e+001
2.275042968749974e-003	2.692517e+001
2.287042968749974e-003	2.653836e+001
2.299042968749974e-003	2.600069e+001
2.311042968749974e-003	2.531521e+001
2.323042968749974e-003	2.448583e+001
2.335042968749973e-003	2.351725e+001
2.347042968749973e-003	2.241497e+001
2.359042968749973e-003	2.118526e+001
2.371042968749973e-003	1.983511e+001
2.383042968749973e-003	1.837219e+001
2.395042968749973e-003	1.680481e+001
2.407042968749973e-003	1.514188e+001
2.419042968749972e-003	1.339284e+001
2.431042968749972e-003	1.156764e+001
2.443042968749972e-003	9.676639e+000
2.455042968749972e-003	7.730590e+000
2.467042968749972e-003	5.740551e+000
2.479042968749972e-003	3.717828e+000
2.491042968749972e-003	1.673914e+000
2.503042968749971e-003	-3.795760e-001
2.515042968749971e-003	-2.430974e+000
2.527042968749971e-003	-4.468625e+000
2.539042968749971e-003	-6.480947e+000
2.551042968749971e-003	-8.456509e+000
2.563042968749971e-003	-1.038408e+001
2.575042968749971e-003	-1.225272e+001
2.587042968749970e-003	-1.405179e+001
2.599042968749970e-003	-1.577109e+001
2.611042968749970e-003	-1.740083e+001
2.623042968749970e-003	-1.893177e+001
2.635042968749970e-003	-2.035519e+001
2.647042968749970e-003	-2.166302e+001
2.659042968749970e-003	-2.284781e+001
2.671042968749969e-003	-2.390285e+001
2.683042968749969e-003	-2.482212e+001
2.695042968749969e-003	-2.560042e+001
2.707042968749969e-003	-2.623331e+001
2.719042968749969e-003	-2.671721e+001
2.731042968749969e-003	-2.704935e+001
2.743042968749969e-003	-2.722786e+001
2.755042968749968e-003	-2.725171e+001
2.767042968749968e-003	-2.712078e+001
2.779042968749968e-003	-2.683581e+001
2.791042968749968e-003	-2.639842e+001
2.803042968749968e-003	-2.581108e+001
2.815042968749968e-003	-2.507715e+001
2.827042968749968e-003	-2.420079e+001
2.839042968749967e-003	-2.318697e+001
2.851042968749967e-003	-2.204147e+001
2.863042968749967e-003	-2.077079e+001
2.875042968749967e-003	-1.938214e+001
2.887042968749967e-003	-1.788343e+001
2.899042968749967e-003	-1.628317e+001
2.911042968749967e-003	-1.459044e+001
2.923042968749966e-003	-1.281488e+001
2.935042968749966e-003	-1.096656e+001
2.947042968749966e-003	-9.055994e+000
2.959042968749966e-003	-7.094035e+000
2.971042968749966e-003	-5.091830e+000
2.983042968749966e-003	-3.060758e+000
2.995042968749966e-003	-1.012926e+000
3.000000000000001e-003	-1.639916e-001
